TIME,RES
2021-11-17 09:39:32,6600
2021-11-17 09:40:02,6600
2021-11-17 09:40:33,6600
2021-11-17 09:41:03,6600
2021-11-17 09:41:33,6600
2021-11-17 09:42:03,6700
2021-11-17 09:42:33,6600
2021-11-17 09:43:03,6600
2021-11-17 09:43:34,6600
2021-11-17 09:44:04,6600
2021-11-17 09:44:34,7400
2021-11-17 09:45:04,6600
2021-11-17 09:45:34,6600
2021-11-17 09:46:04,6600
2021-11-17 09:46:34,6600
2021-11-17 09:47:05,6600
2021-11-17 09:47:35,6600
2021-11-17 09:48:05,6600
2021-11-17 09:48:35,6600
2021-11-17 09:49:05,6600
2021-11-17 09:49:35,6600
2021-11-17 09:50:06,6600
2021-11-17 09:50:36,6600
2021-11-17 09:51:06,7200
2021-11-17 09:51:36,6600
2021-11-17 09:52:06,6600
2021-11-17 09:52:36,6600
2021-11-17 09:53:06,6600
2021-11-17 09:53:37,6600
2021-11-17 09:54:07,7600
2021-11-17 09:54:37,6600
2021-11-17 09:55:07,6600
2021-11-17 09:55:37,6600
2021-11-17 09:56:07,6600
2021-11-17 09:56:38,6600
2021-11-17 09:57:08,6600
2021-11-17 09:57:38,7600
2021-11-17 09:58:08,6600
2021-11-17 09:58:38,6600
2021-11-17 09:59:08,6600
2021-11-17 09:59:39,6600
2021-11-17 10:00:09,7600
2021-11-17 10:00:39,6600
2021-11-17 10:01:09,6600
2021-11-17 10:01:39,7000
2021-11-17 10:02:09,7200
2021-11-17 10:02:39,7300
2021-11-17 10:03:10,7200
2021-11-17 10:03:40,6600
2021-11-17 10:04:10,6600
2021-11-17 10:04:40,6600
2021-11-17 10:05:10,6600
2021-11-17 10:05:40,6800
2021-11-17 10:06:11,7400
2021-11-17 10:06:41,6600
2021-11-17 10:07:11,6600
2021-11-17 10:07:41,6600
2021-11-17 10:08:11,6600
2021-11-17 10:08:41,6600
2021-11-17 10:09:12,6600
2021-11-17 10:09:42,6600
2021-11-17 10:10:12,6600
2021-11-17 10:10:42,6600
2021-11-17 10:11:12,6600
2021-11-17 10:11:42,6600
2021-11-17 10:12:12,6600
2021-11-17 10:12:43,6600
2021-11-17 10:13:13,6600
2021-11-17 10:13:43,6600
2021-11-17 10:14:13,6600
2021-11-17 10:14:43,6600
2021-11-17 10:15:13,6600
2021-11-17 10:15:44,6600
2021-11-17 10:16:14,6600
2021-11-17 10:16:44,6600
2021-11-17 10:17:14,6600
2021-11-17 10:17:44,6600
2021-11-17 10:18:14,6600
2021-11-17 10:18:44,6600
2021-11-17 10:19:15,6600
2021-11-17 10:19:45,6600
2021-11-17 10:20:15,6900
2021-11-17 10:20:45,7600
2021-11-17 10:21:15,6600
2021-11-17 10:21:45,6600
2021-11-17 10:22:16,6600
